op_id,h1,h2,h3,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,model,,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[],,other,,1,model,aten.unsqueeze.default,[],prefill,True
2,model,,,expand,"[[B, 1, T]]",,,"[[4, B, T]]",[1],,other,,1,model,aten.expand.default,[],prefill,True
3,model,,,select,"[[4, B, T]]",,,"[[B, T]]",[2],,other,,1,model,aten.select.int,[],prefill,True
4,model,,,slice,"[[4, B, T]]",,,"[[3, B, T]]",[2],,other,,1,model,aten.slice.Tensor,[],prefill,True
5,model,rotary_emb,,unsqueeze,[[d_rope/2]],,,"[[B, d_rope/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],prefill,True
6,model,rotary_emb,,unsqueeze,"[[B, d_rope/2]]",,,"[[B, 1, d_rope/2]]",[5],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True
7,model,rotary_emb,,unsqueeze,"[[B, 1, d_rope/2]]",,,"[[B, 1, d_rope/2, 1]]",[6],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True
8,model,rotary_emb,,expand,"[[B, 1, d_rope/2, 1]]",,,"[[3, B, d_rope/2, 1]]",[7],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
9,model,rotary_emb,,unsqueeze,"[[3, B, T]]",,,"[[3, B, 1, T]]",[4],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True
10,model,rotary_emb,,_to_copy,"[[3, B, 1, T]]",,,"[[3, B, 1, T]]",[9],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True
11,model,rotary_emb,,expand,"[[3, B, d_rope/2, 1]]",,,"[[3, B, d_rope/2, 1]]",[8],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
12,model,rotary_emb,,view,"[[3, B, d_rope/2, 1]]",,,"[[3, d_rope/2, B]]",[11],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True
13,model,rotary_emb,,expand,"[[3, B, 1, T]]",,,"[[3, B, 1, T]]",[10],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
14,model,rotary_emb,,view,"[[3, B, 1, T]]",,,"[[3, B, T]]",[13],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True
15,model,rotary_emb,,batched_matmul,"[[3, d_rope/2, B], [3, B, T]]",,,"[[3, d_rope/2, T]]","[12, 14]",,other,,2,model.rotary_emb,aten.bmm.default,[],prefill,False
16,model,rotary_emb,,_unsafe_view,"[[3, d_rope/2, T]]",,,"[[3, B, d_rope/2, T]]",[15],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],prefill,True
17,model,rotary_emb,,transpose,"[[3, B, d_rope/2, T]]",,,"[[3, B, T, d_rope/2]]",[16],,other,,2,model.rotary_emb,aten.transpose.int,[],prefill,True
18,model,rotary_emb,,select,"[[3, B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[17],,other,,2,model.rotary_emb,aten.select.int,[],prefill,True
19,model,rotary_emb,,select,"[[3, B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[17],,other,,2,model.rotary_emb,aten.select.int,[],prefill,True
20,model,rotary_emb,,slice,"[[B, T, d_rope/2]]",,,"[[B, T, 11]]",[19],,other,,2,model.rotary_emb,aten.slice.Tensor,[],prefill,True
21,model,rotary_emb,,slice,"[[B, T, d_rope/2]]",,,"[[B, T, 11]]",[18],,other,,2,model.rotary_emb,aten.slice.Tensor,[],prefill,True
22,model,rotary_emb,,copy_,"[[B, T, 11], [B, T, 11]]",,,"[[B, T, 11]]","[20, 21]",,other,,2,model.rotary_emb,aten.copy_.default,[],prefill,True
23,model,rotary_emb,,select,"[[3, B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[17],,other,,2,model.rotary_emb,aten.select.int,[],prefill,True
24,model,rotary_emb,,slice,"[[B, T, d_rope/2]]",,,"[[B, T, 10]]",[23],,other,,2,model.rotary_emb,aten.slice.Tensor,[],prefill,True
25,model,rotary_emb,,slice,"[[B, T, d_rope/2]]",,,"[[B, T, 10]]",[18],,other,,2,model.rotary_emb,aten.slice.Tensor,[],prefill,True
