op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,transformer,word_embeddings,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,transformer.word_embeddings,aten.embedding.default,[transformer.word_embeddings.weight],prefill,False
1,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],prefill,True
2,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],prefill,True
3,transformer,,arange,[],,,[[T]],[],,other,,1,transformer,aten.arange.default,[],prefill,True
4,transformer,,elementwise_add,[[T]],,,[[T]],[3],,other,,1,transformer,aten.add.Tensor,[],prefill,False
5,transformer,,arange,[],,,[[T]],[],,other,,1,transformer,aten.arange.default,[],prefill,True
6,transformer,,elementwise_add,[[T]],,,[[T]],[5],,other,,1,transformer,aten.add.Tensor,[],prefill,False
7,transformer,,new_ones,[[T]],,,[[T]],[4],,other,,1,transformer,aten.new_ones.default,[],prefill,True
8,transformer,,view,[[T]],,,"[[T, 1]]",[4],,other,,1,transformer,aten.view.default,[],prefill,True
9,transformer,,le,"[[T], [T, 1]]",,,"[[T, T]]","[6, 8]",,other,,1,transformer,aten.le.Tensor,[],prefill,True
10,transformer,,select,"[[T, T]]",,,[[T]],[9],,other,,1,transformer,aten.select.int,[],prefill,True
11,transformer,,select,[[T]],,,[[]],[7],,other,,1,transformer,aten.select.int,[],prefill,True
12,transformer,,view,[[T]],,,"[[T, 1]]",[7],,other,,1,transformer,aten.view.default,[],prefill,True
13,transformer,,bitwise_and,"[[T, 1], [T, T]]",,,"[[T, T]]","[9, 12]",,other,,1,transformer,aten.bitwise_and.Tensor,[],prefill,True
14,transformer,,lift_fresh,[[]],,,[[]],[],,other,,1,transformer,aten.lift_fresh.default,[],prefill,True
15,transformer,,_to_copy,[[]],,,[[]],[14],,other,,1,transformer,aten._to_copy.default,[],prefill,True
16,transformer,,select,"[[T, T]]",,,[[T]],[13],,other,,1,transformer,aten.select.int,[],prefill,True
17,transformer,,bitwise_and,"[[T, T], []]",,,"[[T, T]]","[13, 15]",,other,,1,transformer,aten.bitwise_and.Tensor,[],prefill,True
18,transformer,,expand,"[[T, T]]",,,"[[B, T, T]]",[17],,other,,1,transformer,aten.expand.default,[],prefill,True
19,transformer,,expand,"[[B, T, T]]",,,"[[B, 1, T, T]]",[18],,other,,1,transformer,aten.expand.default,[],prefill,True
20,transformer,,scalar_tensor,[],,,[[]],[],,other,,1,transformer,aten.scalar_tensor.default,[],prefill,True
21,transformer,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[19, 20]",,other,,1,transformer,aten.where.self,[],prefill,True
22,transformer,rotary_emb,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,transformer.rotary_emb,aten.unsqueeze.default,[transformer.rotary_emb.inv_freq],prefill,True
23,transformer,rotary_emb,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, 1]]",[22],,other,,2,transformer.rotary_emb,aten.unsqueeze.default,[],prefill,True
24,transformer,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[23],,other,,2,transformer.rotary_emb,aten.expand.default,[],prefill,True
25,transformer,rotary_emb,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[],,other,,2,transformer.rotary_emb,aten.unsqueeze.default,[],prefill,True
26,transformer,rotary_emb,_to_copy,"[[B, 1, T]]",,,"[[B, 1, T]]",[25],,other,,2,transformer.rotary_emb,aten._to_copy.default,[],prefill,True
27,transformer,rotary_emb,expand,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[24],,other,,2,transformer.rotary_emb,aten.expand.default,[],prefill,True
28,transformer,rotary_emb,view,"[[B, d_head/2, 1]]",,,"[[B, d_head/2, 1]]",[27],,other,,2,transformer.rotary_emb,aten.view.default,[],prefill,True
29,transformer,rotary_emb,expand,"[[B, 1, T]]",,,"[[B, 1, T]]",[26],,other,,2,transformer.rotary_emb,aten.expand.default,[],prefill,True
30,transformer,rotary_emb,view,"[[B, 1, T]]",,,"[[B, 1, T]]",[29],,other,,2,transformer.rotary_emb,aten.view.default,[],prefill,True
31,transformer,rotary_emb,batched_matmul,"[[B, d_head/2, 1], [B, 1, T]]",,,"[[B, d_head/2, T]]","[28, 30]",,other,,2,transformer.rotary_emb,aten.bmm.default,[],prefill,False
32,transformer,rotary_emb,_unsafe_view,"[[B, d_head/2, T]]",,,"[[B, d_head/2, T]]",[31],,other,,2,transformer.rotary_emb,aten._unsafe_view.default,[],prefill,True
33,transformer,rotary_emb,transpose,"[[B, d_head/2, T]]",,,"[[B, T, d_head/2]]",[32],,other,,2,transformer.rotary_emb,aten.transpose.int,[],prefill,True
34,transformer,rotary_emb,concat,"[[B, T, d_head/2], [B, T, d_head/2]]",,,"[[B, T, d_head]]",[33],,other,,2,transformer.rotary_emb,aten.cat.default,[],prefill,False
35,transformer,rotary_emb,cos,"[[B, T, d_head]]",,,"[[B, T, d_head]]",[34],,other,,2,transformer.rotary_emb,aten.cos.default,[],prefill,False
36,transformer,rotary_emb,elementwise_mul,"[[B, T, d_head]]",,,"[[B, T, d_head]]",[35],,other,,2,transformer.rotary_emb,aten.mul.Tensor,[],prefill,False
37,transformer,rotary_emb,sin,"[[B, T, d_head]]",,,"[[B, T, d_head]]",[34],,other,,2,transformer.rotary_emb,aten.sin.default,[],prefill,False
38,transformer,rotary_emb,elementwise_mul,"[[B, T, d_head]]",,,"[[B, T, d_head]]",[37],,other,,2,transformer.rotary_emb,aten.mul.Tensor,[],prefill,False
39,transformer,rotary_emb,_to_copy,"[[B, T, d_head]]",,,"[[B, T, d_head]]",[36],,other,,2,transformer.rotary_emb,aten._to_copy.default,[],prefill,True
40,transformer,rotary_emb,_to_copy,"[[B, T, d_head]]",,,"[[B, T, d_head]]",[38],,other,,2,transformer.rotary_emb,aten._to_copy.default,[],prefill,True
41,input_layernorm,,layernorm,"[[B, T, d_model], [d_model], [d_model]]",,,"[[B, T, d_model], [B, T, 1], [B, T, 1]]",[0],0,input_layernorm,,1,transformer.h.0.input_layernorm,aten.native_layer_norm.default,"[transformer.h.0.input_layernorm.bias, transformer.h.0.input_layernorm.weight]",prefill,False
42,self_attention,query_key_value,permute,"[[(n_h+2*n_kv)*d_head, d_model]]","[(n_h+2*n_kv)*d_head, d_model]",0,"[[d_model, (n_h+2*n_kv)*d_head]]",[],0,self_attention,query_key_value,2,transformer.h.0.self_attention.query_key_value,aten.permute.default,[transformer.h.0.self_attention.query_key_value.weight],prefill,True
43,self_attention,query_key_value,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[41],0,self_attention,query_key_value,2,transformer.h.0.self_attention.query_key_value,aten.view.default,[],prefill,True
44,self_attention,query_key_value,matmul,"[[T, d_model], [d_model, (n_h+2*n_kv)*d_head]]","[(n_h+2*n_kv)*d_head, d_model]",1,"[[T, (n_h+2*n_kv)*d_head]]","[42, 43]",0,self_attention,query_key_value,2,transformer.h.0.self_attention.query_key_value,aten.mm.default,[transformer.h.0.self_attention.query_key_value.weight],prefill,False
45,self_attention,query_key_value,_unsafe_view,"[[T, (n_h+2*n_kv)*d_head]]",,,"[[B, T, (n_h+2*n_kv)*d_head]]",[44],0,self_attention,query_key_value,2,transformer.h.0.self_attention.query_key_value,aten._unsafe_view.default,[],prefill,True
46,self_attention,,view,"[[B, T, (n_h+2*n_kv)*d_head]]",,,"[[B, T, n_h+2*n_kv, d_head]]",[45],0,self_attention,,1,transformer.h.0.self_attention,aten.view.default,[],prefill,True
47,self_attention,,slice,"[[B, T, n_h+2*n_kv, d_head]]",,,"[[B, T, n_h, d_head]]",[46],0,self_attention,,1,transformer.h.0.self_attention,aten.slice.Tensor,[],prefill,True
48,self_attention,,index,"[[B, T, n_h+2*n_kv, d_head], [B]]",,,"[[B, T, 1, d_head]]",[46],0,self_attention,,1,transformer.h.0.self_attention,aten.index.Tensor,[],prefill,True
49,self_attention,,index,"[[B, T, n_h+2*n_kv, d_head], [B]]",,,"[[B, T, 1, d_head]]",[46],0,self_attention,,1,transformer.h.0.self_attention,aten.index.Tensor,[],prefill,True
50,self_attention,,transpose,"[[B, T, n_h, d_head]]",,,"[[B, n_h, T, d_head]]",[47],0,self_attention,,1,transformer.h.0.self_attention,aten.transpose.int,[],prefill,True
51,self_attention,,view,"[[B, n_h, T, d_head]]",,,"[[B, n_h, T, d_head]]",[50],0,self_attention,,1,transformer.h.0.self_attention,aten.view.default,[],prefill,True
52,self_attention,,transpose,"[[B, T, 1, d_head]]",,,"[[B, 1, T, d_head]]",[48],0,self_attention,,1,transformer.h.0.self_attention,aten.transpose.int,[],prefill,True
53,self_attention,,view,"[[B, 1, T, d_head]]",,,"[[B, 1, T, d_head]]",[52],0,self_attention,,1,transformer.h.0.self_attention,aten.view.default,[],prefill,True
54,self_attention,,transpose,"[[B, T, 1, d_head]]",,,"[[B, 1, T, d_head]]",[49],0,self_attention,,1,transformer.h.0.self_attention,aten.transpose.int,[],prefill,True
55,self_attention,,view,"[[B, 1, T, d_head]]",,,"[[B, 1, T, d_head]]",[54],0,self_attention,,1,transformer.h.0.self_attention,aten.view.default,[],prefill,True
56,self_attention,,unsqueeze,"[[B, T, d_head]]",,,"[[B, 1, T, d_head]]",[39],0,self_attention,,1,transformer.h.0.self_attention,aten.unsqueeze.default,[],prefill,True
57,self_attention,,unsqueeze,"[[B, T, d_head]]",,,"[[B, 1, T, d_head]]",[40],0,self_attention,,1,transformer.h.0.self_attention,aten.unsqueeze.default,[],prefill,True
58,self_attention,,elementwise_mul,"[[B, n_h, T, d_head], [B, 1, T, d_head]]",,,"[[B, n_h, T, d_head]]","[51, 56]",0,self_attention,,1,transformer.h.0.self_attention,aten.mul.Tensor,[],prefill,False
