op_id,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,model,embed_tokens,,,,embedding,"[[V, d_model], [B, T]]","[V, d_model]",0,"[[B, T, d_model]]",[],,other,,2,model.embed_tokens,aten.embedding.default,[model.embed_tokens.weight],prefill,False
1,model,,,,,clone,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[0],,other,,1,model,aten.clone.default,[],prefill,True
2,model,rotary_emb,,,,unsqueeze,[[d_head/2]],,,"[[B, d_head/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.inv_freq],prefill,True
3,model,rotary_emb,,,,unsqueeze,"[[B, d_head/2]]",,,"[[B, d_head/2, B]]",[2],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True
4,model,rotary_emb,,,,expand,"[[B, d_head/2, B]]",,,"[[B, d_head/2, B]]",[3],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
5,model,rotary_emb,,,,unsqueeze,"[[B, T]]",,,"[[B, B, T]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True
6,model,rotary_emb,,,,_to_copy,"[[B, B, T]]",,,"[[B, B, T]]",[5],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True
7,model,rotary_emb,,,,expand,"[[B, d_head/2, B]]",,,"[[B, d_head/2, B]]",[4],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
8,model,rotary_emb,,,,view,"[[B, d_head/2, B]]",,,"[[B, d_head/2, B]]",[7],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True
9,model,rotary_emb,,,,expand,"[[B, B, T]]",,,"[[B, B, T]]",[6],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True
10,model,rotary_emb,,,,view,"[[B, B, T]]",,,"[[B, B, T]]",[9],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True
11,model,rotary_emb,,,,batched_matmul,"[[B, d_head/2, B], [B, B, T]]",,,"[[B, d_head/2, T]]","[8, 10]",,other,,2,model.rotary_emb,aten.bmm.default,[],prefill,False
12,model,rotary_emb,,,,_unsafe_view,"[[B, d_head/2, T]]",,,"[[B, d_head/2, T]]",[11],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],prefill,True
13,model,rotary_emb,,,,transpose,"[[B, d_head/2, T]]",,,"[[B, T, d_head/2]]",[12],,other,,2,model.rotary_emb,aten.transpose.int,[],prefill,True
14,model,rotary_emb,,,,concat,"[[B, T, d_head/2], [B, T, d_head/2]]",,,"[[B, T, d_head]]",[13],,other,,2,model.rotary_emb,aten.cat.default,[],prefill,False
15,model,rotary_emb,,,,cos,"[[B, T, d_head]]",,,"[[B, T, d_head]]",[14],,other,,2,model.rotary_emb,aten.cos.default,[],prefill,False
16,model,rotary_emb,,,,elementwise_mul,"[[B, T, d_head]]",,,"[[B, T, d_head]]",[15],,other,,2,model.rotary_emb,aten.mul.Tensor,[],prefill,False
